	Kingdom	Phylum	Class	Order	Family	Genus	Species
ASV_18969	Bacteria	Actinobacteriota	Thermoleophilia	Gaiellales	NA	NA	NA
ASV_18970	Bacteria	Planctomycetota	Planctomycetes	NA	NA	NA	NA
ASV_18972	Bacteria	Acidobacteriota	Acidobacteriae	Bryobacterales	Bryobacteraceae	Bryobacter	NA
ASV_18973	Bacteria	Verrucomicrobiota	Verrucomicrobiae	Verrucomicrobiales	Verrucomicrobiaceae	Prosthecobacter	NA
ASV_18974	Bacteria	NA	NA	NA	NA	NA	NA
ASV_18975	Bacteria	Planctomycetota	Planctomycetes	Gemmatales	Gemmataceae	NA	NA
ASV_18976	Bacteria	Bacteroidota	Bacteroidia	Sphingobacteriales	NS11-12 marine group	NA	NA
ASV_18977	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	NA	NA	NA
ASV_18978	Archaea	Nanoarchaeota	Nanoarchaeia	Woesearchaeales	GW2011_GWC1_47_15	NA	NA
ASV_18979	Bacteria	Planctomycetota	vadinHA49	NA	NA	NA	NA
ASV_18980	Bacteria	NA	NA	NA	NA	NA	NA
ASV_18982	Bacteria	Planctomycetota	Planctomycetes	Pirellulales	Pirellulaceae	Pirellula	NA
ASV_18983	Bacteria	Actinobacteriota	Thermoleophilia	Solirubrobacterales	Solirubrobacteraceae	Parviterribacter	NA
ASV_18985	Bacteria	NA	NA	NA	NA	NA	NA
ASV_18986	Bacteria	Bdellovibrionota	Bdellovibrionia	Bdellovibrionales	Bdellovibrionaceae	Bdellovibrio	NA
ASV_18987	Bacteria	Bacteroidota	Bacteroidia	Cytophagales	Spirosomaceae	Larkinella	NA
ASV_18988	Bacteria	Proteobacteria	Gammaproteobacteria	NA	NA	NA	NA
ASV_18989	Bacteria	NA	NA	NA	NA	NA	NA
ASV_18990	Bacteria	Planctomycetota	Planctomycetes	Gemmatales	Gemmataceae	Gemmata	NA
ASV_18992	Bacteria	NA	NA	NA	NA	NA	NA
ASV_18993	Bacteria	Firmicutes	Clostridia	Clostridia UCG-014	NA	NA	NA
ASV_18994	Bacteria	NA	NA	NA	NA	NA	NA
ASV_18995	Bacteria	Bacteroidota	Bacteroidia	Cytophagales	Spirosomaceae	NA	NA
ASV_18996	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Oxalobacteraceae	s3t2d-1089	NA
ASV_18997	Bacteria	Planctomycetota	Planctomycetes	Gemmatales	Gemmataceae	Gemmata	NA
ASV_18998	Bacteria	NA	NA	NA	NA	NA	NA
ASV_19000	Bacteria	Actinobacteriota	Acidimicrobiia	IMCC26256	NA	NA	NA
ASV_19001	Bacteria	Sumerlaeota	Sumerlaeia	Sumerlaeales	Sumerlaeaceae	Sumerlaea	NA
ASV_19002	Bacteria	Desulfobacterota	Desulfuromonadia	PB19	NA	NA	NA
ASV_19003	Bacteria	Gemmatimonadota	Longimicrobia	Longimicrobiales	Longimicrobiaceae	NA	NA
ASV_19004	Bacteria	Chloroflexi	Chloroflexia	Chloroflexales	Roseiflexaceae	NA	NA
ASV_19005	Bacteria	Chloroflexi	Chloroflexia	Chloroflexales	Roseiflexaceae	NA	NA
ASV_19006	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	NA	NA
ASV_19007	Bacteria	NA	NA	NA	NA	NA	NA
ASV_19009	Bacteria	NA	NA	NA	NA	NA	NA
ASV_19010	Bacteria	Armatimonadota	Armatimonadia	Armatimonadales	NA	NA	NA
ASV_19011	Bacteria	Planctomycetota	Phycisphaerae	Tepidisphaerales	CPla-3 termite group	NA	NA
ASV_19012	Bacteria	Chloroflexi	NA	NA	NA	NA	NA
ASV_19013	Bacteria	Chloroflexi	Anaerolineae	SBR1031	A4b	NA	NA
ASV_19014	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Beijerinckiaceae	NA	NA
ASV_19015	Bacteria	Cyanobacteria	Cyanobacteriia	Leptolyngbyales	Leptolyngbyaceae	NA	NA
ASV_19016	Bacteria	Actinobacteriota	Acidimicrobiia	NA	NA	NA	NA
ASV_19017	Bacteria	Planctomycetota	Planctomycetes	Planctomycetales	NA	NA	NA
ASV_19018	Bacteria	NA	NA	NA	NA	NA	NA
ASV_19019	Bacteria	Latescibacterota	NA	NA	NA	NA	NA
ASV_19020	Bacteria	Acidobacteriota	Subgroup 25	NA	NA	NA	NA
ASV_19021	Bacteria	Bdellovibrionota	Oligoflexia	Silvanigrellales	Silvanigrellaceae	Silvanigrella	NA
ASV_19023	Bacteria	Actinobacteriota	Acidimicrobiia	NA	NA	NA	NA
ASV_19024	Bacteria	Acidobacteriota	Acidobacteriae	Bryobacterales	Bryobacteraceae	Bryobacter	NA
ASV_19025	Bacteria	Proteobacteria	Alphaproteobacteria	NA	NA	NA	NA
ASV_19026	Bacteria	Bdellovibrionota	Oligoflexia	Oligoflexales	Oligoflexaceae	NA	NA
ASV_19027	Bacteria	Dependentiae	Babeliae	Babeliales	Babeliaceae	NA	NA
ASV_19028	Bacteria	Proteobacteria	Gammaproteobacteria	NA	NA	NA	NA
ASV_19029	Bacteria	Patescibacteria	Saccharimonadia	Saccharimonadales	NA	NA	NA
ASV_19030	Bacteria	Chloroflexi	Anaerolineae	RBG-13-54-9	NA	NA	NA
ASV_19031	Bacteria	Proteobacteria	NA	NA	NA	NA	NA
ASV_19032	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	A21b	NA	NA
ASV_19033	Bacteria	Actinobacteriota	Acidimicrobiia	Microtrichales	NA	NA	NA
ASV_19034	Bacteria	Actinobacteriota	Thermoleophilia	Solirubrobacterales	67-14	NA	NA
ASV_19035	Bacteria	Chloroflexi	AD3	NA	NA	NA	NA
ASV_19036	Bacteria	Actinobacteriota	NA	NA	NA	NA	NA
ASV_19037	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	NA	NA	NA
ASV_19038	Bacteria	Firmicutes	Bacilli	Thermoactinomycetales	Thermoactinomycetaceae	Shimazuella	NA
ASV_19039	Bacteria	Armatimonadota	Fimbriimonadia	Fimbriimonadales	Fimbriimonadaceae	NA	NA
ASV_19040	Bacteria	Verrucomicrobiota	Verrucomicrobiae	Verrucomicrobiales	Verrucomicrobiaceae	Verrucomicrobium	NA
ASV_19042	Bacteria	Proteobacteria	Alphaproteobacteria	Caedibacterales	Caedibacteraceae	Caedibacter	NA
ASV_19044	Bacteria	Firmicutes	Desulfitobacteriia	Desulfitobacteriales	Heliobacteriaceae	NA	NA
ASV_19045	Bacteria	Actinobacteriota	Acidimicrobiia	NA	NA	NA	NA
ASV_19046	Bacteria	Bacteroidota	Bacteroidia	Sphingobacteriales	env.OPS 17	NA	NA
ASV_19047	Bacteria	Chloroflexi	Anaerolineae	SBR1031	A4b	NA	NA
ASV_19049	Bacteria	Armatimonadota	NA	NA	NA	NA	NA
ASV_19050	Bacteria	Bdellovibrionota	Oligoflexia	0319-6G20	NA	NA	NA
ASV_19051	Bacteria	Chloroflexi	Chloroflexia	Kallotenuales	AKIW781	NA	NA
ASV_19052	Bacteria	Acidobacteriota	Acidobacteriae	Acidobacteriales	NA	NA	NA
ASV_19053	Bacteria	Bdellovibrionota	Bdellovibrionia	Bdellovibrionales	Bdellovibrionaceae	Bdellovibrio	NA
ASV_19054	Bacteria	Myxococcota	Myxococcia	Myxococcales	Myxococcaceae	KD3-10	NA
ASV_19055	Bacteria	Acidobacteriota	Subgroup 5	NA	NA	NA	NA
ASV_19056	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	SM2D12	NA	NA
ASV_19058	Bacteria	Actinobacteriota	Actinobacteria	Micromonosporales	Micromonosporaceae	NA	NA
