	Beijerinckiaceae	Oxalobacteraceae	Gemmatimonadaceae	Micrococcaceae	Geodermatophilaceae	Sphingomonadaceae	Chitinophagaceae	Kineosporiaceae	Solirubrobacteraceae	Micromonosporaceae	Comamonadaceae	X67.14	Acetobacteraceae	Pyrinomonadaceae	Pseudonocardiaceae	Nitrosomonadaceae	Chthoniobacteraceae	Nocardioidaceae	Rhodobacteraceae	Bryobacteraceae	Gemmataceae	Nitrososphaeraceae	Xanthobacteraceae	Others	Unclassified
avca-elkld_25_c19	6.32896971143674	3.87355080915981	4.34228300791528	2.95941451876285	3.21114106994635	4.37483385505108	4.0672283496178	2.17276904631443	2.35668133263168	2.12665534620539	2.68273231810858	2.84060392671719	1.58685379787009	2.48037455174771	1.65032794978489	1.38395351739029	1.01287386004221	1.72573741231616	2.11851763442144	0.919018917467327	0.99442837999859	0.962420046981723	0.865852533812193	27.8407395552469	15.1220385510533
avca-elkld_26_c19	4.45416887563012	1.67761413976224	4.02106227929086	1.09714347329925	2.55461006927908	3.92401764774596	1.52665582402573	1.69828105203569	2.73252522711139	2.07298115716738	1.66233859590795	3.50079522684183	1.95077680633306	2.33536108689987	1.43769824510958	2.02985020981409	1.46555364860858	1.5733810169918	1.11960750837909	1.47274213983413	3.26267645499555	0.978533368077708	0.973141999658547	23.4254957812542	27.0529881659463
avca-elkld_27_c19	4.3489637496897	4.39794158889478	3.67467979898958	5.00714539708951	3.00777607063544	2.44352452582071	2.34355605949801	1.82358584875912	2.28115963420934	2.62199172073239	1.81687655571732	3.22113158936443	1.28885519332828	2.71659275262166	1.78668473702926	1.44451079189786	1.98796352828302	0.958087046367924	1.89671714291465	0.519299281434715	1.62499077472207	2.14026448033171	0.705817627996538	20.8987768958785	25.0431072077935
avca-elkld_28_c19	5.8886173821073	2.48951457018856	4.97100550713009	0.479229731208286	4.63693059557241	2.92279076552755	2.41000765892265	2.63831649586053	3.50341004412998	2.70177614063241	1.79510558371932	3.48444509281885	1.83303548634159	3.51508078339837	2.27214705131478	1.64630365804734	1.57700864364127	1.57117327400708	1.13862649987235	2.32028885079689	1.33046427659652	1.7214340420876	1.46905430540866	22.1940989824574	19.4901345782122
avca-elkld_29_c19	6.90526043128197	7.92338521092811	4.43801670731971	5.31223692447169	3.46306329642181	4.61429979637504	3.65589541016398	2.63273397083055	2.83276131269742	2.40104762521496	4.4948590095049	1.8290269893007	1.62899964743382	1.58223066462322	1.15411459120311	1.06057662558191	0.628862938099452	1.55848641181169	2.52408602614746	0.988624344334837	0.608716299350271	0.564105884977083	0.413006094358222	26.1071657276894	10.6784380598787
avca-elkld_30_c19	6.15074098992056	2.81952682809404	5.16069698110645	3.30158690969243	2.53066111978668	4.13238443828582	1.97021226691685	1.22829649472573	3.5392221611846	2.53930240165913	2.41585551776709	4.22373513236592	1.47457302809034	3.31146266040379	1.68937060606248	2.49177535136069	0.898693314734003	1.96218821946387	1.18447285094406	0.796232401103615	1.13571133180671	1.3418676279064	1.4054427731108	23.6832846746866	18.6127039188213
avca-elkld_31_c19	7.49822365544381	3.67361718408395	4.71414516834281	0.954443594228247	3.90864123305641	5.38983930913861	2.6440205509401	2.74991801486664	2.43564167031045	3.37505465675558	1.96491036292086	2.83053672933975	4.19695561871447	2.68228027984259	2.66861609094884	0.909351770878881	1.1081657192829	1.40126257105378	0.912767818102317	1.90137188456493	0.841714035854832	1.66224857892436	1.42244206383909	26.3042468299082	11.8495846086576
avca-elkld_32_c19	6.57111797688523	1.72431056184918	4.57861311362856	0.482749742533471	2.24782583819659	4.36119693328756	1.99393523286417	1.90096120837624	3.54016477857878	6.1627474539421	1.95960636228401	3.84197276576267	3.11534500514933	2.00037189609795	2.76347408170271	1.15359308845406	0.856076210092688	1.69856390891406	0.698020368463211	1.47685661975054	0.840342144410116	1.64993134225884	1.57984323149102	27.3179139489644	15.4844661860625
avca-elkld_33_c13	5.58945586135918	10.1875767736795	3.05235549948541	14.6349722784768	2.87440656020716	3.64064938083065	2.29872846187046	1.80007303874373	2.09753992231334	1.27087414096478	2.14335513429169	1.78944922147339	1.59954848776601	0.991334949038877	1.80007303874373	0.993990903356462	1.01324657215896	1.42425550280535	1.49264632648318	0.642076956276352	0.756282991932539	1.18588360280203	0.59028584708343	22.1712426546263	13.9596958932306
avca-elkld_34_c13	6.54679986399624	11.6040347781034	3.29080517461911	22.1427067985687	5.46605572915823	3.52638310962874	2.89493709826271	3.5741463335654	1.62718779852015	1.38756213266843	2.6601687094215	1.72595243106714	2.097534122371	1.17546103654291	1.29689296180561	0.776354775512847	0.923692178164921	1.33979890873176	1.09207778119586	1.13579327429043	0.552920033029484	0.697828797176303	0.439583569450966	13.1308388517397	8.89448375240839
avca-elkld_35_c13	7.55228448589959	4.23303942286672	5.15995044815274	2.94833491219121	5.95205130073599	4.60030605552722	3.43365153392115	3.09043212125629	2.17080813233258	1.86256649420681	1.99081833418349	2.24586460686439	3.00590249945347	1.99154703781972	1.29272025067405	2.85068862493624	1.67091743787801	1.39765357429134	0.485316621729942	1.71245354514319	1.52007578517817	1.12511841434089	1.043503607083	18.9069445456533	17.7570502076805
avca-elkld_36_c13	9.18019553323168	8.52617574072413	2.94869495021975	5.22842108410321	5.57598588812151	5.00941788501211	5.81517026938141	4.45331419858283	2.04203665500643	1.53675964959488	3.77986067509792	1.01055401082309	2.68185487487667	1.07931952043532	1.82527580948964	0.43501659341645	0.899183783298951	1.65709929141627	3.38146919006189	0.775854336711813	0.363261279038479	0.269082428917392	0.213771040751039	23.0140221843514	8.29820312733578
avca-elkld_37_c13	5.26644235285035	3.64906682450124	4.6153747177313	2.34371481693548	3.19679355623179	3.96495043007778	1.89530163345921	2.67632545661586	3.35377033782175	2.58883020130342	1.92553896433925	2.12819341598204	2.10824964455053	3.88774873421386	2.68082888887459	2.29160367222733	2.88927346770717	1.33301594858367	0.407238945682174	1.45525196703488	1.51186654400175	1.2390872186159	2.36623197822912	19.6960826572824	20.5292176251472
