	Actinobacteriota	Proteobacteria	Acidobacteriota	Gemmatimonadota	Chloroflexi	Bacteroidota	Myxococcota	Planctomycetota	Verrucomicrobiota	Firmicutes	Crenarchaeota	Others	Unclassified
avca-elkld_32_c19	32.1318228630278	29.3776461837739	9.71936148300721	5.29522828698936	5.97465385055498	2.51029866117405	4.35404508525003	2.78922073463783	1.56911545943472	2.32077468817943	1.64993134225884	2.09978258381966	0.20811877789221
avca-elkld_33_c13	37.0259951528834	40.7376913117094	4.22562331927891	3.426845058265	3.47000431592577	3.08024301982006	1.32996912453106	1.47604661199827	1.31004946714917	0.943527771322333	1.18588360280203	1.67457919723781	0.113542047076777
avca-elkld_34_c13	45.8615999870473	33.2917766300212	4.33431018570989	3.49481080906044	2.13234460761297	3.4931917167236	1.93724398102424	1.42399171024724	1.02893318005926	0.555348671534738	0.697828797176303	1.69842786134093	0.0501918624419062
avca-elkld_35_c13	32.26991182686	31.8334183487576	9.15033156015449	5.45507542082635	3.73533483932085	3.72659039568607	3.79435983385557	3.11302193397945	2.08919332507469	1.19361655614662	1.12511841434089	2.28521460322087	0.228812941776582
avca-elkld_36_c13	29.4981612700691	36.5892307232338	4.43089066283972	3.28504798636649	4.18796902562263	7.08807964839896	2.57048464735253	1.48518551738571	0.911890453553383	2.66167369270787	0.269082428917392	6.57607558226448	0.446228361288007
avca-elkld_37_c13	30.573158257043	29.1018226033699	12.1309598100838	4.97629264589512	5.45236977038929	2.43378346211005	3.46442610189337	3.37693084658093	3.55642478946454	1.30277861770364	1.2390872186159	2.19574489986297	0.196220976987462
avca-elkld_38_c13	36.1419852232573	28.6789270799871	9.75746867973016	4.25714744619338	5.19113395438484	2.97301638291038	2.20285897847735	2.79392868615483	2.35464182460649	0.904272406039191	1.83183424349502	2.75056215868937	0.162222936074528
avca-elkld_39_c13	35.0167156724534	33.3540097474524	6.58396101019052	5.46824022233858	3.41885850082571	4.31546300398759	2.8058162484392	2.72445321625649	1.78998670801949	0.60740323035405	1.09799814717847	2.6116727756072	0.205421516896934
avca-elkld_40_c13	31.6756013745704	31.5335624284078	8.44077892325315	4.7495990836197	4.9475372279496	3.58487972508591	3.62520045819015	3.63528064146621	2.78029782359679	0.504925544100802	1.30400916380298	3.05337915234823	0.164948453608247
avca-elkld_41_c13	30.5440266257983	40.2406056579822	5.29556083218775	3.71037866778923	2.69217867173574	5.36002052186039	3.19141239073096	2.21201975886814	2.37843099853321	0.767596508652727	0.910328678642137	2.55602402110068	0.141416666118531
avca-elkld_42_c13	35.2398898391071	28.5490650818959	8.66864763009132	5.43339614436875	4.51369763733874	2.87505435570373	4.47673575880562	2.6025510943615	1.87708363530946	2.03652703290332	1.08783881721989	2.40469633280185	0.23481664009276
avca-elkld_43_c13	27.4548970247542	32.775132709462	10.7964391907915	4.93898101023368	5.64129225268611	2.54291395319141	6.18581148871742	2.88586074171364	2.54382604571408	0.855542786260238	1.28148999434503	1.95643846111749	0.141374341013147
avca-elkld_44_c13	32.264053809994	29.5803056772244	8.34071786042822	4.43915571646792	5.6299634571402	3.81463571072908	3.41207349081365	2.48879661746462	2.11830434378982	1.45411887822704	0.954502873635972	5.15313399329907	0.350237570785964
avca-elkld_45_c13	31.7397436299245	26.5828814993575	13.1620020685116	5.34866957094055	6.40987871000094	2.1700567273639	3.53715485630113	3.55595950731814	2.28413827686714	1.30566960228163	1.75948851349234	1.96257874447613	0.181778293164513
avca-elkld_46_c13	29.1916155469202	31.2404786926379	10.8178344779269	5.17796189033083	5.55433356958395	2.84885662845924	5.18773777810364	2.81301170662561	2.54336013555898	0.986550007739244	1.30426636035552	2.06189766274817	0.27209554300984
avca-elkld_47_c13	31.1831093516686	27.1201861304997	12.9492655484946	5.14914748064034	5.40542417612946	2.57943535784978	4.13445845053304	2.98642219675661	2.14744591450498	2.3141299440914	1.2098482480814	2.63777476820502	0.18335243254505
avca-elkld_48_c13	32.5579572911905	30.9109906615294	8.65865604388428	4.77829295369947	5.37451838307321	3.74126559132763	3.06928753346829	2.9713315483576	2.71272774766538	1.74361653497029	0.873767387187357	2.41298243322667	0.194605890419908
avca-elkld_49_c12	32.3057293159098	27.8528987191895	10.1026702926563	5.43303723487654	7.09987510880672	3.51695762890555	2.77788290504485	2.82059461183709	3.26285000621753	0.737993414827991	1.44571017673996	2.34644060099156	0.297359983996628
avca-elkld_50_c12	37.5308255372451	30.5332654845318	7.60558969742044	5.41289910100338	4.19031588836263	2.89075038164951	2.19334298873971	2.31990709933326	2.40406570895474	0.782218394853929	1.03599900836367	2.68459440769301	0.41622630184888
avca-elkld_51_c12	37.2622054773016	36.7555764867063	4.1393729217508	4.79156855189736	2.27911689572006	6.34856074552953	1.72896062565113	1.62263989382198	1.50276148477972	0.591542863666852	0.607241226755719	2.23844386408072	0.13200896233819
avca-elkld_52_c12	37.4682148986008	33.4304109829269	5.72382348151767	4.69354778099282	3.26744579309308	4.0866558941791	2.82527275687999	2.2866483784901	2.10501922763769	0.697080154823193	0.685180313905277	2.45763030325805	0.273070033695348
avca-elkld_53_c12	32.1905232681308	36.0059317844785	6.66195890120754	4.42271026057482	4.56464938916743	5.1253442553492	2.01327589859473	1.83673469387755	3.01814843584493	0.682861379846056	1.12633288609561	2.24842878327802	0.103100063554834
avca-elkld_54_c12	36.8012660578608	36.7245597461425	4.77355489345897	4.93423443063731	3.19744204636291	4.21480997020565	2.42795662459931	1.43884892086331	1.29754782032959	1.0327091861864	0.969729267091377	2.02989123852433	0.15744979773757
avca-elkld_55_c12	41.2126727334007	39.0225817323896	3.0886417256488	3.10953825412875	1.3953488372093	6.04651162790698	1.43107516009437	0.860128075497135	0.717896865520728	0.504213009774183	0.499494438827098	2.03370407819346	0.07819346140883
avca-elkld_56_c12	35.3367136038541	28.3429735476484	9.59288061499115	5.44585371656283	5.54324714139146	2.90990736472722	2.29580836542608	2.83407431638737	3.1292284359062	0.888436203589431	0.718183575453883	2.74188512036638	0.220807993695445
avca-elkld_57_c12	33.2698038672119	25.4951833113868	9.38942407651258	5.95467461362534	7.38027583339109	4.11740245339247	2.49428234804907	2.83664841638367	3.792362603091	0.511469956337931	1.83519301406889	2.64536696929794	0.277912537251368
avca-elkld_58_c12	33.9421790471758	28.7608964823787	8.27093911265862	6.81585879654637	4.8538687186817	3.73700524360754	3.62066529828731	2.53621080798092	2.76307370135536	0.592502721523721	1.20993543133035	2.68662173728778	0.210242901185836
avca-elkld_59_c12	31.1271573100575	41.4957349732196	4.99027970640746	4.173775044634	2.76611783376314	4.43642134497124	3.8722475699266	1.91707994445547	1.36718904979171	0.698274151953977	0.853005356080143	2.20670501884547	0.0960126958936769
avca-elkld_60_c12	35.5155521361617	31.1623671277615	7.44869600715979	5.89112719621913	3.55320384995839	3.73376878267833	3.32789021652091	2.69277269230165	2.21152789335678	0.422364929579676	1.08260453139475	2.7579330810658	0.20019155584167
avca-elkld_61_c12	37.5162606942026	27.3055771600052	9.08258711946534	5.19860416136115	5.18139707754889	2.69118790823806	2.47300208549856	3.02431705084349	2.93277536496225	1.09230568040251	1.26988278534507	2.11234160879351	0.119761303333348
avca-elkld_62_c12	27.3254850998229	23.8339130323994	10.0625565365847	6.01612964874059	4.82933914306463	2.37166991552956	2.14361248072978	2.37931429881894	2.20731567480793	0.58606938551899	1.4849214539617	16.5921339295952	0.167539400425539
