# -------------------------------------NOTICE------------------------------------------
# These data readings are Preliminary.
#
# Most data relayed by telemetry have received little or no review.
# Inaccuracies in the data may be present because of instrument
# malfunctions and/or physical changes at the measurement site.
#
# Subsequent review may result in significant revisions to the data.
# * (asterisk) indicates questionable data
#
# Retrieved: 2023-02-10 15:58:57 (MST)
# (Note: Gage clock may be different from current time)
#
# This file contains data for 1 Altar Wash at Highway 286 sensor(s):
# 6380
#
# -------------------------------------------------------------------------------------
#
# Data provided for Altar Wash at Highway 286 sensors
# over the period of '01/01/2020' to '11/30/2020'
#

Sensor ID,Date and Time (MST),Value (in)
6380,2020-07-11 10:00:29,.24,
6380,2020-07-10 22:00:29,.24,
6380,2020-07-10 10:00:30,.24,
6380,2020-07-09 22:00:29,.24,
6380,2020-07-09 10:00:29,.24,
6380,2020-07-08 22:00:29,.24,
6380,2020-07-08 10:00:30,.24,
6380,2020-07-07 22:00:29,.24,
6380,2020-07-07 10:00:30,.24,
6380,2020-07-06 22:00:29,.24,
6380,2020-07-06 10:00:30,.24,
6380,2020-07-05 22:00:29,.24,
6380,2020-07-05 10:00:29,.24,
6380,2020-07-04 22:00:29,.24,
6380,2020-07-04 10:00:29,.24,
6380,2020-07-03 22:00:29,.24,
6380,2020-07-03 10:00:29,.24,
6380,2020-07-02 22:00:29,.24,
6380,2020-07-02 17:56:32,.24,
6380,2020-07-02 10:00:29,.20,
6380,2020-07-01 22:00:29,.20,
6380,2020-07-01 10:00:29,.20,
6380,2020-06-30 22:00:29,.20,
6380,2020-06-30 10:00:29,.20,
6380,2020-06-29 22:00:29,.20,
6380,2020-06-29 10:00:29,.20,
6380,2020-06-28 22:00:29,.20,
6380,2020-06-28 10:00:29,.20,
6380,2020-06-27 22:00:30,.20,
6380,2020-06-27 10:00:28,.20,
6380,2020-06-26 22:00:29,.20,
6380,2020-06-26 10:00:29,.20,
6380,2020-06-25 22:00:29,.20,
6380,2020-06-25 10:00:29,.20,
6380,2020-06-24 22:00:28,.20,
6380,2020-06-24 10:00:29,.20,
6380,2020-06-23 22:00:28,.20,
6380,2020-06-23 10:00:29,.20,
